Date,COF5 Comdty,COF5 Comdty,COF5 Comdty,COF5 Comdty,COF5 Comdty,COF5 Comdty,COF5 Comdty,COF5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COG5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,COH5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLF5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLG5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty,CLH5 Comdty
Date,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC,10 DP,25 DP,40 DP,50 DP,50 DC,40 DC,25 DC,10 DC
03/06/2024,32.26,28.02,25.9,25.06,25.06,24.44,23.89,24.49,32.67,28.38,26.11,25.18,25.18,24.49,23.88,24.34,32.78,28.56,26.2,25.19,25.19,24.42,23.71,24.19,18.22,18.37,18.47,18.52,18.52,18.58,18.66,18.76,16,16.12,16.2,16.24,16.24,16.29,16.36,16.44,14.57,14.67,14.74,14.78,14.78,14.82,14.88,14.96
04/06/2024,32.23,28.09,26.06,25.26,25.26,24.67,24.18,24.66,32.7,28.55,26.31,25.36,25.36,24.62,23.95,24.43,32.13,28.53,26.36,25.36,25.36,24.57,23.79,23.94,18.11,18.28,18.39,18.45,18.45,18.52,18.61,18.74,15.99,16.12,16.22,16.27,16.27,16.32,16.4,16.51,14.63,14.75,14.83,14.88,14.88,14.92,15,15.09
05/06/2024,31.73,27.79,25.87,25.1,25.1,24.53,24.07,24.77,32.22,28.2,26.13,25.28,25.28,24.65,24.12,24.6,32.01,28.21,26.1,25.13,25.13,24.37,23.63,23.98,31.6,27.29,26.24,25.51,25.51,24.77,23.96,24.49,31.6,27.29,26.24,25.51,25.51,24.77,23.96,24.49,31.6,27.29,26.24,25.51,25.51,24.77,23.96,24.49
06/06/2024,30.8,26.9,25.17,24.47,24.47,23.93,23.48,24.35,31.41,27.28,25.36,24.58,24.58,24.01,23.53,24.15,31.47,27.61,25.56,24.64,24.64,23.91,23.21,23.64,29.19,25.8,24.6,23.89,23.89,23.32,22.8,23.96,29.19,25.8,24.6,23.89,23.89,23.32,22.8,23.96,29.19,25.8,24.6,23.89,23.89,23.32,22.8,23.96
07/06/2024,30.68,26.68,24.86,24.13,24.13,23.58,23.15,23.98,31.32,27.1,25.11,24.3,24.3,23.7,23.22,23.82,31.38,27.32,25.2,24.26,24.26,23.54,22.86,23.31,28.56,25.01,23.74,23.02,23.02,22.41,21.82,22.47,28.56,25.01,23.74,23.02,23.02,22.41,21.82,22.47,28.56,25.01,23.74,23.02,23.02,22.41,21.82,22.47
10/06/2024,30.31,26.15,24.44,23.74,23.74,23.22,22.85,23.75,30.84,26.55,24.68,23.9,23.9,23.34,22.91,23.59,31.27,26.77,24.86,23.93,23.93,23.16,22.41,22.98,18.48,18.65,18.76,18.83,18.83,18.89,18.97,19.07,16.1,16.24,16.33,16.38,16.38,16.43,16.5,16.59,14.57,14.69,14.76,14.81,14.81,14.85,14.92,15
11/06/2024,29.87,25.79,24.07,23.35,23.35,22.81,22.42,23.35,30.44,26.19,24.32,23.52,23.52,22.94,22.48,23.18,30.95,26.44,24.51,23.54,23.54,22.73,22,22.7,31.42,27.54,25.48,24.49,24.49,23.75,23.13,23.75,31.96,27.84,25.59,24.56,24.56,23.77,23.08,23.51,32.42,28.11,25.74,24.6,24.6,23.71,22.89,23.31
12/06/2024,30.8,26.33,24.51,23.75,23.75,23.18,22.79,23.88,31.35,26.64,24.66,23.84,23.84,23.24,22.79,23.64,32.12,27.05,24.97,23.92,23.92,23.05,22.3,23.18,27.81,24.18,22.95,22.42,22.42,21.98,21.51,21.76,27.81,24.18,22.95,22.42,22.42,21.98,21.51,21.76,27.81,24.18,22.95,22.42,22.42,21.98,21.51,21.76
13/06/2024,31.07,26.45,24.49,23.67,23.67,23.08,22.69,23.84,31.6,26.86,24.75,23.87,23.87,23.23,22.77,23.66,32.31,27.23,25.05,23.95,23.95,23.08,22.37,23.39,27.87,24.05,22.84,22.28,22.28,21.87,21.67,22.03,27.87,24.05,22.84,22.28,22.28,21.87,21.67,22.03,27.87,24.05,22.84,22.28,22.28,21.87,21.67,22.03
